handle_id,barcode,article_name,brand,general_tags,category,component_tags,images,product_url
linen-pant,1057194,LINEN PANT,Dash and Dot,"Linen, Pants, Casual, Comfortable, Straight Cut",Clothing & Fashion,"Sub Category: Bottoms, Fit: Regular, Color: Beige, Pattern: Solid, Occasion: Casual, Style: Minimal",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/2_6ddec98d-306d-4b12-8b8f-6e0dcaca5885.jpg?v=1764574935,https://shop.broadwaylive.in/products/linen-pant
benares-striped-tissue-shirt-skirt,1088938,BENARES STRIPED TISSUE SHIRT & SKIRT,Dash and Dot,"Shirt, Skirt, Striped, Tissue Fabric, Ethnic Wear",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Red, Pattern: Stripes, Occasion: Party, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/4_cfaa54d5-52c5-4dfa-ba80-f457358401fa.jpg?v=1764658712,https://shop.broadwaylive.in/products/benares-striped-tissue-shirt-skirt
linen-pant,1089962,LINEN PANT,Dash and Dot,"Linen, Pants, Casual, Comfortable, Straight Cut",Clothing & Fashion,"Sub Category: Bottoms, Fit: Regular, Color: Beige, Pattern: Solid, Occasion: Casual, Style: Minimal",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/3_600ee92e-38c3-4a11-a00f-cb697192cfda.jpg?v=1764574935,https://shop.broadwaylive.in/products/linen-pant
musky-oud-roll-on-by-proust-fragrances,1.10E+12,Musky Oud Roll On by Proust Fragrances,Proust Fragrances,"Perfume, Roll On, Fragrance, Oud, Musky",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Size: 11mL, Ingredient Focus: Oud",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7404672.jpg?v=1763631363,https://shop.broadwaylive.in/products/musky-oud-roll-on-by-proust-fragrances
vanilla-velvet-roll-on-by-proust-fragrances,1.10E+12,Vanilla Velvet Roll On by Proust Fragrances,Proust Fragrances,"Perfume, Roll On, Fragrance, Vanilla, Amber",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Size: 11mL, Ingredient Focus: Fragrance",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7404669.jpg?v=1763631462,https://shop.broadwaylive.in/products/vanilla-velvet-roll-on-by-proust-fragrances
amalfi-coast-roll-on-by-proust-fragrances,1.10E+12,Amalfi Coast Roll On by Proust Fragrances,Proust Fragrances,"Perfume, Roll On, Fragrance, Amalfi Coast, Personal Care",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Size: 11mL, Ingredient Focus: Fragrance",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7404671.jpg?v=1763631105,https://shop.broadwaylive.in/products/amalfi-coast-roll-on-by-proust-fragrances
hennessey-smoke-roll-on-by-proust-fragrances,1.10E+12,Hennessey Smoke Roll On by Proust Fragrances,Proust Fragrances,"Roll On, Perfume, Fragrance, Unisex, Aromatic",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Size: 11mL, Color: Amber",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7404666.jpg?v=1763631218,https://shop.broadwaylive.in/products/hennessey-smoke-roll-on-by-proust-fragrances
white-oud-in-rose-garden-roll-on-by-proust-fragrances,1.10E+12,White Oud in Rose Garden Roll On by Proust Fragrances,Proust Fragrances,"Perfume, Fragrance, Roll On, Oud, Rose",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Size: 11mL, Ingredient Focus: Fragrance",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7404668_adf37cfd-25e7-4cb8-b9d6-482776585cae.jpg?v=1763631864,https://shop.broadwaylive.in/products/white-oud-in-rose-garden-roll-on-by-proust-fragrances
harvest-under-winter-sun-roll-on-by-proust-fragrances,1.10E+12,Harvest Under Winter Sun Roll On by Proust Fragrances,Proust Fragrances,"Perfume, Fragrance, Roll On, Winter, Aroma",Beauty & Personal Care,"Sub Category: Perfume, Size: 11mL, Texture: Liquid, Ingredient Focus: Fragrance",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7404667.jpg?v=1763631684,https://shop.broadwaylive.in/products/harvest-under-winter-sun-roll-on-by-proust-fragrances
gris-dust-roll-on-by-proust-fragrances,1.10E+12,Gris Dust Roll On by Proust Fragrances,Proust Fragrances,"Roll On, Perfume, Fragrance, Aroma, Concentrated",Beauty & Personal Care,"Sub Category: Perfume, Size: 11mL, Texture: Liquid, Ingredient Focus: Fragrance",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7404670.jpg?v=1763631556,https://shop.broadwaylive.in/products/gris-dust-roll-on-by-proust-fragrances
linen-pant,1122730,LINEN PANT,Dash and Dot,"Linen, Pants, Casual, Comfortable, Straight Cut",Clothing & Fashion,"Sub Category: Bottoms, Fit: Regular, Color: Beige, Pattern: Solid, Occasion: Casual, Style: Minimal",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/4_6903e6d8-d98b-4803-a18c-1ef4381c620c.jpg?v=1764574935,https://shop.broadwaylive.in/products/linen-pant
striped-benares-tissue-skirt-set,11476394,STRIPED BENARES TISSUE SKIRT SET,Dash and Dot,"Skirt Set, Metallic, Color Block, Relaxed Fit, Unique",Clothing & Fashion,"Sub Category: Dresses, Fit: Relaxed, Color: Multi, Pattern: Stripes, Occasion: Party, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/1_00ec9c08-ccb1-4eb8-91e3-365d132f18e9.jpg?v=1764581141,https://shop.broadwaylive.in/products/striped-benares-tissue-skirt-set
linen-pant,1155498,LINEN PANT,Dash and Dot,"Linen, Pants, Casual, Comfortable, Straight Cut",Clothing & Fashion,"Sub Category: Bottoms, Fit: Regular, Color: Beige, Pattern: Solid, Occasion: Casual, Style: Minimal",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/5_15ce3503-8531-4452-aed9-c9d5b61bc103.jpg?v=1764574936,https://shop.broadwaylive.in/products/linen-pant
striped-benares-tissue-skirt-set,11705770,STRIPED BENARES TISSUE SKIRT SET,Dash and Dot,"Skirt Set, Metallic, Color Block, Relaxed Fit, Unique",Clothing & Fashion,"Sub Category: Dresses, Fit: Relaxed, Color: Multi, Pattern: Stripes, Occasion: Party, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/2_994df5b5-b360-475c-979c-8465c9c15c2e.jpg?v=1764581141,https://shop.broadwaylive.in/products/striped-benares-tissue-skirt-set
striped-benares-tissue-skirt-set,11935146,STRIPED BENARES TISSUE SKIRT SET,Dash and Dot,"Skirt Set, Metallic, Color Block, Relaxed Fit, Unique",Clothing & Fashion,"Sub Category: Dresses, Fit: Relaxed, Color: Multi, Pattern: Stripes, Occasion: Party, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/3_a9273cee-8607-4fb8-a21e-62253b49a8dd.jpg?v=1764581141,https://shop.broadwaylive.in/products/striped-benares-tissue-skirt-set
striped-benares-tissue-skirt-set,12164522,STRIPED BENARES TISSUE SKIRT SET,Dash and Dot,"Skirt Set, Metallic, Color Block, Relaxed Fit, Unique",Clothing & Fashion,"Sub Category: Dresses, Fit: Relaxed, Color: Multi, Pattern: Stripes, Occasion: Party, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/4_5a3e402f-8e66-417f-bd08-8faafe4555d9.jpg?v=1764581141,https://shop.broadwaylive.in/products/striped-benares-tissue-skirt-set
colourful-hair-bows-for-adults-and-kids-nish-hair,123401,Barbie Collection Hair Bows for adults and kids | Nish Hair,Nish Hair,"Hair Accessories, Bows, Colorful, Barbie, Fashion",Jewellery & Accessories,"Sub Category: Hair Accessories, Color: Pink, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/ADHY0032.jpg?v=1763717203,https://shop.broadwaylive.in/products/colourful-hair-bows-for-adults-and-kids-nish-hair
colourful-hair-bows-for-adults-and-kids-nish-hair,123403,Barbie Collection Hair Bows for adults and kids | Nish Hair,Nish Hair,"Hair Accessories, Bows, Colorful, Barbie, Fashion",Jewellery & Accessories,"Sub Category: Hair Accessories, Color: Pink, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/baribie_pink_bow.jpg?v=1763717203,https://shop.broadwaylive.in/products/colourful-hair-bows-for-adults-and-kids-nish-hair
striped-benares-tissue-skirt-set,12393898,STRIPED BENARES TISSUE SKIRT SET,Dash and Dot,"Skirt Set, Metallic, Color Block, Relaxed Fit, Unique",Clothing & Fashion,"Sub Category: Dresses, Fit: Relaxed, Color: Multi, Pattern: Stripes, Occasion: Party, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/5_8b676184-0a44-4f59-aa87-4866f2990c07.jpg?v=1764581141,https://shop.broadwaylive.in/products/striped-benares-tissue-skirt-set
striped-benares-tissue-skirt-set,12623274,STRIPED BENARES TISSUE SKIRT SET,Dash and Dot,"Skirt Set, Metallic, Color Block, Relaxed Fit, Unique",Clothing & Fashion,"Sub Category: Dresses, Fit: Relaxed, Color: Multi, Pattern: Stripes, Occasion: Party, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/6_e9bc164e-a433-4516-98c8-fb57ae0b07b0.jpg?v=1764581141,https://shop.broadwaylive.in/products/striped-benares-tissue-skirt-set
striped-benares-tissue-skirt-set,12852650,STRIPED BENARES TISSUE SKIRT SET,Dash and Dot,"Skirt Set, Metallic, Color Block, Relaxed Fit, Unique",Clothing & Fashion,"Sub Category: Dresses, Fit: Relaxed, Color: Multi, Pattern: Stripes, Occasion: Party, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/7_c288ff50-14dc-47ea-9af9-63ff84b9bec7.jpg?v=1764581141,https://shop.broadwaylive.in/products/striped-benares-tissue-skirt-set
benares-striped-tissue-shirt-skirt,1318314,BENARES STRIPED TISSUE SHIRT & SKIRT,Dash and Dot,"Shirt, Skirt, Striped, Tissue Fabric, Ethnic Wear",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Red, Pattern: Stripes, Occasion: Party, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/5_ff9f0b27-8ab7-48c5-99b6-431414f34f28.jpg?v=1764658713,https://shop.broadwaylive.in/products/benares-striped-tissue-shirt-skirt
mughal-print-pant-set,13295530,MUGHAL PRINT PANT SET,Dash and Dot,"Mughal Print, Floral Motifs, Relaxed Fit, High-Low Hem, Casual Wear",Clothing & Fashion,"Sub Category: Tops, Fit: Relaxed, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/imgi_5_5_b3bed847-4b54-4f53-aa36-d25fee940e23.jpg?v=1764583977,https://shop.broadwaylive.in/products/mughal-print-pant-set
one-shoulder-benares-weave-gown,13354154,ONE-SHOULDER BENARES WEAVE GOWN,Dash and Dot,"Gown, One-Shoulder, Floral, Vintage, Handloom",Clothing & Fashion,"Sub Category: Dresses, Fit: Regular, Color: Gold, Pattern: Floral, Occasion: Formal, Style: Vintage",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/1_875bcaad-0c15-4a53-b898-07389506824e.jpg?v=1764583546,https://shop.broadwaylive.in/products/one-shoulder-benares-weave-gown
one-shoulder-benares-weave-gown,13386922,ONE-SHOULDER BENARES WEAVE GOWN,Dash and Dot,"Gown, One-Shoulder, Floral, Vintage, Handloom",Clothing & Fashion,"Sub Category: Dresses, Fit: Regular, Color: Gold, Pattern: Floral, Occasion: Formal, Style: Vintage",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/3_2e367c18-0795-4574-b703-80f632603ffb.jpg?v=1764583547,https://shop.broadwaylive.in/products/one-shoulder-benares-weave-gown
one-shoulder-benares-weave-gown,13419690,ONE-SHOULDER BENARES WEAVE GOWN,Dash and Dot,"Gown, One-Shoulder, Floral, Vintage, Handloom",Clothing & Fashion,"Sub Category: Dresses, Fit: Regular, Color: Gold, Pattern: Floral, Occasion: Formal, Style: Vintage",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/4_e54756b2-bca9-4555-98e0-76a67556c745.jpg?v=1764583546,https://shop.broadwaylive.in/products/one-shoulder-benares-weave-gown
one-shoulder-benares-weave-gown,13452458,ONE-SHOULDER BENARES WEAVE GOWN,Dash and Dot,"Gown, One-Shoulder, Floral, Vintage, Handloom",Clothing & Fashion,"Sub Category: Dresses, Fit: Regular, Color: Gold, Pattern: Floral, Occasion: Formal, Style: Vintage",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8_22f67172-579e-481e-ab68-49f97bf289a1.jpg?v=1764583546,https://shop.broadwaylive.in/products/one-shoulder-benares-weave-gown
one-shoulder-benares-weave-gown,13485226,ONE-SHOULDER BENARES WEAVE GOWN,Dash and Dot,"Gown, One-Shoulder, Floral, Vintage, Handloom",Clothing & Fashion,"Sub Category: Dresses, Fit: Regular, Color: Gold, Pattern: Floral, Occasion: Formal, Style: Vintage",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/77_ee4006f8-53f7-4e19-b258-4446c3950fa4.jpg?v=1764583546,https://shop.broadwaylive.in/products/one-shoulder-benares-weave-gown
one-shoulder-benares-weave-gown,13517994,ONE-SHOULDER BENARES WEAVE GOWN,Dash and Dot,"Gown, One-Shoulder, Floral, Vintage, Handloom",Clothing & Fashion,"Sub Category: Dresses, Fit: Regular, Color: Gold, Pattern: Floral, Occasion: Formal, Style: Vintage",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/99.jpg?v=1764583546,https://shop.broadwaylive.in/products/one-shoulder-benares-weave-gown
mughal-print-pant-set,13524906,MUGHAL PRINT PANT SET,Dash and Dot,"Mughal Print, Floral Motifs, Relaxed Fit, High-Low Hem, Casual Wear",Clothing & Fashion,"Sub Category: Tops, Fit: Relaxed, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/imgi_6_5_d0ffade5-f517-40a9-b06e-5e544860dd7d.jpg?v=1764583976,https://shop.broadwaylive.in/products/mughal-print-pant-set
one-shoulder-benares-weave-gown,13550762,ONE-SHOULDER BENARES WEAVE GOWN,Dash and Dot,"Gown, One-Shoulder, Floral, Vintage, Handloom",Clothing & Fashion,"Sub Category: Dresses, Fit: Regular, Color: Gold, Pattern: Floral, Occasion: Formal, Style: Vintage",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/656.jpg?v=1764583546,https://shop.broadwaylive.in/products/one-shoulder-benares-weave-gown
mughal-print-pant-set,13754282,MUGHAL PRINT PANT SET,Dash and Dot,"Mughal Print, Floral Motifs, Relaxed Fit, High-Low Hem, Casual Wear",Clothing & Fashion,"Sub Category: Tops, Fit: Relaxed, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/imgi_7_1_41442a17-c743-47d8-a8fb-3547fcea5d0d.jpg?v=1764583976,https://shop.broadwaylive.in/products/mughal-print-pant-set
mughal-print-pant-set,13983658,MUGHAL PRINT PANT SET,Dash and Dot,"Mughal Print, Floral Motifs, Relaxed Fit, High-Low Hem, Casual Wear",Clothing & Fashion,"Sub Category: Tops, Fit: Relaxed, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/imgi_8_2_cb68115e-89c9-4741-b4e7-7cc3eb0f58b8.jpg?v=1764583976,https://shop.broadwaylive.in/products/mughal-print-pant-set
shoulder-drape-sequin-bandeau,14064298,SHOULDER DRAPE SEQUIN BANDEAU,Dash and Dot,"Bandeau, Sequin, Asymmetric, Evening Wear, Party",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Brown, Pattern: Solid, Occasion: Night Out, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/3_f80adc40-9bd1-454a-806a-1c7e2e211fde.jpg?v=1764581847,https://shop.broadwaylive.in/products/shoulder-drape-sequin-bandeau
shoulder-drape-sequin-bandeau,14097066,SHOULDER DRAPE SEQUIN BANDEAU,Dash and Dot,"Bandeau, Sequin, Asymmetric, Evening Wear, Party",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Brown, Pattern: Solid, Occasion: Night Out, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/5_b315b087-f3df-43a2-9dcd-04a93f76f513.jpg?v=1764581847,https://shop.broadwaylive.in/products/shoulder-drape-sequin-bandeau
shoulder-drape-sequin-bandeau,14129834,SHOULDER DRAPE SEQUIN BANDEAU,Dash and Dot,"Bandeau, Sequin, Asymmetric, Evening Wear, Party",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Brown, Pattern: Solid, Occasion: Night Out, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/6_3d61a2f1-c417-4b93-ad92-9e8def75741c_1.jpg?v=1764581847,https://shop.broadwaylive.in/products/shoulder-drape-sequin-bandeau
shoulder-drape-sequin-bandeau,14162602,SHOULDER DRAPE SEQUIN BANDEAU,Dash and Dot,"Bandeau, Sequin, Asymmetric, Evening Wear, Party",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Brown, Pattern: Solid, Occasion: Night Out, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/6_3d61a2f1-c417-4b93-ad92-9e8def75741c.jpg?v=1764581847,https://shop.broadwaylive.in/products/shoulder-drape-sequin-bandeau
shoulder-drape-sequin-bandeau,14195370,SHOULDER DRAPE SEQUIN BANDEAU,Dash and Dot,"Bandeau, Sequin, Asymmetric, Evening Wear, Party",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Brown, Pattern: Solid, Occasion: Night Out, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/7_4d27dcde-0822-465c-a461-e26c111128d1.jpg?v=1764581847,https://shop.broadwaylive.in/products/shoulder-drape-sequin-bandeau
mughal-print-pant-set,14213034,MUGHAL PRINT PANT SET,Dash and Dot,"Mughal Print, Floral Motifs, Relaxed Fit, High-Low Hem, Casual Wear",Clothing & Fashion,"Sub Category: Tops, Fit: Relaxed, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/imgi_9_3_0827e72d-7b0c-4b32-8380-f9377eb8ac02.jpg?v=1764583976,https://shop.broadwaylive.in/products/mughal-print-pant-set
gold-sequin-embroidered-top,14326442,GOLD SEQUIN EMBROIDERED TOP,Dash and Dot,"Embroidered, Luxury, Glamour, Longline, Full Sleeves",Clothing & Fashion,"Sub Category: Tops, Fit: Relaxed, Color: Gold, Pattern: Geometric, Occasion: Night Out, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/1_8cd92818-73ed-408e-8b4f-458e2b907aab.jpg?v=1764651933,https://shop.broadwaylive.in/products/gold-sequin-embroidered-top
gold-sequin-embroidered-top,14359210,GOLD SEQUIN EMBROIDERED TOP,Dash and Dot,"Embroidered, Luxury, Glamour, Longline, Full Sleeves",Clothing & Fashion,"Sub Category: Tops, Fit: Relaxed, Color: Gold, Pattern: Geometric, Occasion: Night Out, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/2_128c3fd9-f31c-43b3-b8f2-6735f97aaa80.jpg?v=1764651933,https://shop.broadwaylive.in/products/gold-sequin-embroidered-top
gold-sequin-embroidered-top,14391978,GOLD SEQUIN EMBROIDERED TOP,Dash and Dot,"Embroidered, Luxury, Glamour, Longline, Full Sleeves",Clothing & Fashion,"Sub Category: Tops, Fit: Relaxed, Color: Gold, Pattern: Geometric, Occasion: Night Out, Style: Trendy",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/3_fb407c5f-90f2-43a6-84f6-204d76fdcc56.jpg?v=1764651933,https://shop.broadwaylive.in/products/gold-sequin-embroidered-top
